today,interviewer,municipality,hh_m/male_infant,hh_m/male_young,hh_m/male_child,hh_m/male_adult,hh_m/male_senior,hh_f/female_infant,hh_f/female_young,hh_f/female_child,hh_f/female_adult,hh_f/female_senior,hh_males,hh_females,hh_total,hh_confirm,land_tenure,single_headed,single_headed_sex,pregnant_lactating,disabled_ill_male,disabled_ill_female,pre_income_primary,pre_income_primary_other,post_income_primary,post_income_primary_other,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,B11,B12,B13,B14,C15,C16,C17,C18,C19,C20,D21,D22,D23,D24,D25,D26,D27,D28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,meta/instanceID,_uuid,_submission_time
12/12/14,Jame Marie Sian,PH061909031_CA254,0,1,0,2,0,0,1,0,1,0,3,2,5,OK,own,no,n/a,0,0,0,agriculture,n/a,agriculture,n/a,agree_strongly,agree,agree_strongly,na,agree_strongly,agree,agree,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree,agree,agree_strongly,agree_strongly,agree,agree,agree,agree,agree_strongly,neither,agree_strongly,agree,agree,agree,na,agree_strongly,agree_strongly,na,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,neither,agree,agree_strongly,uuid:78cf8686-af9c-4a67-9744-1830e4d3f56e,78cf8686-af9c-4a67-9744-1830e4d3f56e,2014-12-12T12:51:09
12/12/14,Jame Marie Sian,PH061909017_CA227,0,0,0,2,0,0,0,1,2,0,2,3,5,OK,free_private,yes,female,1,0,0,other,Food vending,other,Food vending,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,neither,agree,agree,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree,agree_strongly,agree_strongly,uuid:174d17f2-ebbc-4755-9d85-aca675476af6,174d17f2-ebbc-4755-9d85-aca675476af6,2014-12-12T12:51:10
12/12/14,Jame Marie Sian,PH061909012_CA222,0,0,2,1,0,0,0,0,1,0,3,1,4,OK,free_private,no,n/a,0,0,0,fishing,n/a,fishing,n/a,agree_strongly,agree_strongly,agree_strongly,na,neither,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,neither,neither,neither,agree_strongly,agree_strongly,na,agree_strongly,agree_strongly,na,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,agree_strongly,uuid:b1d2ce57-5a9d-49a8-9e26-11a258ad81cd,b1d2ce57-5a9d-49a8-9e26-11a258ad81cd,2014-12-12T12:51:11
12/12/14,Jon Bernadette Lema,PH061909020_CA230,0,0,0,1,0,0,2,0,1,0,1,3,4,OK,own_rent,no,n/a,0,0,0,agri_worker,n/a,agriculture,n/a,agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree_strongly,agree,agree,agree,agree,agree,agree_strongly,agree,na,agree,agree,na,agree,agree,agree,agree,agree,agree_strongly,disagree_strongly,disagree,disagree,agree,agree,agree,uuid:8b38660a-d004-4b33-aeac-752a82080ef6,8b38660a-d004-4b33-aeac-752a82080ef6,2014-12-14T03:17:56
12/13/14,John Paul Bascar,PH061910006_CA283,0,0,1,2,0,0,0,1,0,0,3,1,4,OK,free_private,no,n/a,0,0,0,agri_worker,n/a,agri_worker,n/a,neither,disagree_strongly,disagree_strongly,na,agree,disagree,neither,agree_strongly,unsure,agree,agree,agree,agree_strongly,agree,agree_strongly,agree,agree,agree,agree,agree,agree,na,agree,agree,agree,agree,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,uuid:85ad1bae-f475-4dd5-856a-a9c651db237d,85ad1bae-f475-4dd5-856a-a9c651db237d,2014-12-14T03:19:18
12/13/14,John Paul Bascar,PH061910011_CA306,0,0,0,0,0,0,0,1,0,0,0,1,1,OK,free_private,yes,male,0,0,0,agriculture,n/a,agriculture,n/a,neither,disagree,disagree,na,agree,agree,agree,agree,disagree,disagree,agree,agree,agree,agree,agree,agree,neither,agree,agree,agree,agree,agree,agree,agree,agree,na,na,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,uuid:619ef4e1-8e49-4079-8754-a70be8acb426,619ef4e1-8e49-4079-8754-a70be8acb426,2014-12-14T03:19:20
12/13/14,John Paul Bascar,PH061902012_CA022,0,0,1,3,0,0,0,1,1,0,4,2,6,OK,free_private,no,n/a,0,0,0,agriculture,n/a,agriculture,n/a,neither,disagree,disagree,agree,agree,agree,na,agree,na,agree,agree,agree,agree,agree,agree,agree,disagree_strongly,agree,disagree_strongly,na,agree,agree,agree,neither,agree,na,agree,agree,agree,na,agree,agree,agree,agree,neither,neither,agree,agree,uuid:4530d2a6-ecb0-4571-8aa5-7fa16dadbbe5,4530d2a6-ecb0-4571-8aa5-7fa16dadbbe5,2014-12-14T03:19:21
12/13/14,John Paul Bascar,PH061902016_CA045,0,1,0,1,0,0,1,0,1,0,2,2,4,OK,free_private,no,n/a,0,0,0,agriculture,n/a,agriculture,n/a,agree,neither,disagree,na,disagree,agree,agree,agree,neither,disagree,disagree,na,agree,agree,agree,agree,agree,agree,agree,agree,disagree,neither,agree,agree,agree,na,na,agree,agree,neither,agree,agree,agree,neither,disagree,neither,agree,agree,uuid:3ec0ca55-fd2e-425c-a38c-abf1fdeea167,3ec0ca55-fd2e-425c-a38c-abf1fdeea167,2014-12-14T03:19:22
12/13/14,John Paul Bascar,PH061902016_CA043,0,1,1,1,0,0,0,1,1,0,3,2,5,OK,own,yes,male,0,0,0,agri_worker,n/a,agri_worker,n/a,agree,neither,neither,agree,neither,neither,agree,agree,na,disagree,neither,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,neither,neither,disagree,agree,neither,na,neither,agree,neither,agree,agree,agree,neither,neither,neither,agree,agree,uuid:50c2990f-583a-4053-807d-f62f9aab5f60,50c2990f-583a-4053-807d-f62f9aab5f60,2014-12-14T03:19:23
12/13/14,John Paul Bascar,PH061902016_CA044,0,0,0,1,0,0,2,0,1,0,1,3,4,OK,free_private,no,n/a,0,0,0,agriculture,n/a,agriculture,n/a,agree,disagree,disagree,na,neither,agree,agree,agree,neither,neither,agree,agree,neither,agree,agree,agree,neither,neither,agree,neither,neither,neither,agree,neither,agree,disagree,na,neither,agree,neither,agree,agree,agree,agree,neither,neither,agree,agree,uuid:47bae5b2-0daf-494c-848c-66e3ede538d6,47bae5b2-0daf-494c-848c-66e3ede538d6,2014-12-14T03:19:26
